runs_last5,sr_last5,venue_avg_runs,career_avg,career_sr,next_match_runs
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,10.0
30.4,90.98744410044719,10.0,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,3.0
27.5,92.6418439716312,19.5,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,8.0
24.4,129.73273103707885,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,10.0
5.6,81.11111111111113,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,4.0
6.2,95.55555555555556,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,7.0
32.6,147.87222439396353,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,14.0
30.6,160.26415094339623,8.454545454545455,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,16.0
3.8,147.33333333333334,16.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,4.0
10.0,99.61111111111111,4.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,19.0
25.6,115.78263841421736,19.0,12.173913043478262,135.39039462952505,7.0
18.4,80.28158631873802,8.454545454545455,12.173913043478262,135.39039462952505,7.0
18.4,80.28158631873802,8.454545454545455,12.173913043478262,135.39039462952505,7.0
18.4,80.28158631873802,8.454545454545455,12.173913043478262,135.39039462952505,7.0
